type,name,longitude,latitude,address,infos
2,上海话剧艺术中心,121.44129,31.21361,安福路288号,上海话剧艺术中心建于1995年1月23日，是由原上海人民艺术剧院（始创于1950年）和上海青年话剧团（始创于1957年）这两个著名的话剧表演团体合并而成。 上海话剧艺术中心是上海唯一的国家级话剧表演艺术剧院，也是代表中国最优秀的话剧团体之一。
1,上海老相机制造博物馆,121.44062,31.2136,安福路300号,上海老相机制造博物馆于2012年6月9日在黄浦区文化局第二文化馆正式开馆，并于6月10日起免费向公众开放。博物馆内设中国老相机制造厂家专区等，旨在向公众演绎相机的文化内涵和历史记忆。
3,长宁德必易园,121.42034,31.21529,安化路492号,德必易园地处长宁区龙头板块――中山公园商圈的中心地带，毗邻上海多媒体产业园，是上海多媒体产业园分园，是以多媒体产业为主的业态聚集地。
1,崇明博物馆,121.40164,31.61855,鳌山路696号,崇明博物馆始建于1959年7月，位于上海市文物保护单位――崇明学宫内，新馆经改造后于1999年12月对外开放，是―所县级综合性博物馆。
1,上海纺织博物馆,121.44595,31.24668,澳门路150号,上海纺织博物馆位于原上海申新纺织第九厂旧址，是一家地域性行业博物馆。
1,顾正红纪念馆,121.44265,31.24707,澳门路300号,顾正红纪念馆成立于2008年5月，是缅怀顾正红烈士英雄事迹、加强对后人的革命传统教育、深入开展五卅运动史、沪西革命史研究工作的重要革命纪念地。
3,中华1912文化创意产业园 ,121.4402,31.24589,澳门路477号,“中华1912”文化创意产业园是对具有百年历史文化的“中华书局”老厂房进行保护性修缮改造而成。
2,上海保利大剧院,121.26499,31.35374,白银路159号,上海保利大剧院毗邻上海国际赛车场，是上海地区标志性文化设施之一。剧院临湖而建，是国内首家拥有水景剧场的剧院。
3,东方慧谷―上海文化信息产业园 ,121.29188,31.33347,宝安公路2999号,上海文化信息产业园是以现代文化产业、信息产业、创意产业融合发展为特色的大型高新技术产业企业集聚区。
1,上海眼镜博物馆,121.47267,31.26009,宝昌路533号,上海眼镜博物馆共分两个楼层，由“眼睛的世界”“眼镜光学”“眼镜材料与检测”“眼镜的历史”“眼镜产业”“眼镜的设计与文化”等板块组成。
1,上海交响音乐博物馆 ,121.45003,31.21187,宝庆路3号,上海交响音乐博物馆于2017年10月1日起对外运营，是国内第一家以交响音乐为主题的博物馆，与上海交响乐团仅一墙之隔，紧邻上海音乐学院，建筑前身是目前上海正在逐渐消失的近代花园洋房。
1,上海解放纪念馆,121.49063,31.40012,宝杨路599号,上海解放纪念馆成立于2006年5月，位于宝山烈士陵园内，是烈士陵园的主要纪念设施之一。
2,黄浦剧场,121.47555,31.23839,北京东路780号,黄浦剧场，原名金城大戏院，始建于1933年。1957年批准其为人民淮剧团固定演出场所，之后改名为黄浦剧场。2009年被评为上海市爱国主义教育基地。
2,云峰剧院,121.44316,31.22612,北京西路1700号,云峰剧院每年接待大量外地剧团，尤其是全国各地的部队文艺表演院团演出。
1,上海自然博物馆,121.46264,31.23519,北京西路510号,上海自然博物馆拥有29万余件藏品，包括来自华东地区乃至全国及世界各地的自然界和人类历史遗物，位于地下二楼的“探索中心”是馆内特设的一处教育活动场所。
3,叁零・SHANGHAI 文化创意产业园,121.31028,31.01414,北松公路4915号,以影视产业辐射带动产业链发展，融入全新理念打造集影视拍摄、影视创意办公、影视旅游休闲、老上海文化体验旅游、艺术展览、婚庆拍摄为一体的主题式文化创意产业园。
4,上海影视乐园,121.31172,31.01045,北松公路4915号,上海影视乐园为中国十大影视基地之一，国内大部分讲述上海故事的年代影视剧都在这里拍摄过，如《情深深雨鳌贰渡戒》《新上海滩》等。
1,OCT当代艺术中心（上海）,121.47301,31.24154,北苏州路1016号,作为OCT当代艺术中心的上海分馆，OCAT上海馆是一处专注媒体艺术与建筑的专业非营利艺术机构
1,上海邮政博物馆,121.48554,31.24448,北苏州路250号,上海邮政博物馆为全国第一个邮政博物馆。2006年1月，由江泽民题写馆名的上海邮政博物馆正式向社会开放。
4,巧克力开心乐园,121.47525,31.18203,博成路100号,巧克力开心乐园是全国首家以“巧克力”、“甜点”、“饼干”等元素打造的大型创意主题乐园，主题理念是打造融入人们生活品质、以休闲为导向的“轻休闲”模式的主题乐园。
1,嘉定博物馆,121.252,31.38642,博乐路215号,嘉定博物馆成立于1959年，新馆于2013年6月正式对外开放。新馆采用双园两层（局部三层）布局设计，分为新建的现代功能与传统园林两部分。
1,韩天衡美术馆,121.25655,31.37857,博乐路70号,韩天衡美术馆主体建筑是在具有七十多年历史的“飞联纺织厂”原址上改建而成，保留了原建筑高大的烟囱、锯齿形厂房等文化沉淀，新增了黑白对比的钢结构框架，先进的文物展示系统，优美的绿化水景。
1,上海汽车博物馆,121.17017,31.27863,博园路7565号,上海汽车博物馆位于上海安亭，于2007年1月17日正式向公众开放，是中国首家专业汽车博物馆。
1,上海中医药博物馆,121.59897,31.1928,蔡伦路1200号,上海中医药博物馆成立于2003年，由医史博物馆、中药标本馆和校史馆组成。
1,四海壶具博物馆,121.35731,31.25595,曹安路1978号,四海壶具博物馆始建于1991年，由著名壶具收藏家、紫砂陶艺家许四海先生创立，1993年建成正式对外开放。博物馆展出了从新石器到现代的各类壶具共三百余件，构成了一部脉络清晰的中国陶瓷发展史。
1,上海电线电缆博物馆,121.34518,30.798078,漕廊公路2888号,上海电线电缆博物馆建成于2006年10月，坐落于上海金山亚龙现代工业园区，是中国首家电线电缆博物馆。
2,上海大舞台,121.438368,31.181496,漕溪北路1111号,上海大舞台是在上海体育馆保留原体育馆功能的基础上于1999年10月改建而成的。
1,上海电影博物馆,121.43813,31.18621,漕溪北路595号,上海电影博物馆是一座融展示与活动、参观与体验为一体，涵盖文物收藏、学术研究、社会教育、陈列展示等功能的行业博物馆。
3,静安现代产业园 ,121.45351,31.23904,昌平路68号,静安现代产业园由老厂房改建而成，外观时尚，各层面采用中、西不同风格的装潢，适合不同品位人士的需求。
3,传媒文化园,121.43703,31.23256,昌平路990号,传媒文化园前身是上海窗钩厂，从2001年7月起向都市型园区转型，现已改建为以影视制作、网络图片、艺术摄影、工业创意设计、建筑创意设计等为特色的都市产业园区，老厂换了新貌。
3,800秀创意产业集聚区,121.44315,31.23369,常德路800号,800秀前身为人民电机厂，现以多功能秀场为中心，创意办公与休闲餐饮区域分布在“南北两翼”，将秀展、时尚发布与商务、休闲有机地结合。
2,上海歌剧院,121.44574,31.21708,常熟路100弄10号,上海歌剧院成立于1956年，前身是1935年成立的新安旅行团，经历半个多世纪的发展，在歌剧、舞剧、音乐剧、合唱、交响乐等领域都留下了辉煌的足迹。
1,上海国际酒文化博物馆,121.1768,31.07718,辰花路3888号辰山植物园,上海国际酒文化博物馆所在的辰山，坐落在上海境内唯一的富氧山脉群中。上海国际酒文化博物馆是中国大陆第一座完全以世界各国酒文化为展示主体的行业性博物馆。
1,东方美术馆,121.78099,31.04169,城南路1385弄2号,东方美术馆成立于2005年3月，是由上海生南房地产开发（集团）有限公司出资设立的一所公益性社会文化事业机构。
3,63号设计创意工场,121.50105,31.27922,赤峰路63号,63号设计创意工场是经杨浦区人民政府批准于2001年12月成立的，力主推进大专院校、科研院所科技成果转化，推进知识转化为生产力，在杨浦知识创新中扮演知识产业化试验基地的角色。
1,崇明美术馆,121.4288,31.61934,崇明大道7897号,崇明美术馆于2012年11月30日正式对外开馆，包括大小展厅各一，固定常设展“黄丕谟艺术陈列”，下设行政部、展览部、典藏艺术部、教育公关部。
4,上海迪士尼乐园,121.66034,31.14419,川沙新镇黄楼社区,上海迪士尼乐园是中国内地首座迪士尼主题乐园，于2016年6月16日正式开园，拥有七大主题园区：米奇大街、奇想花园、探险岛、宝藏湾、明日世界、梦幻世界、玩具总动园。
3,张江创星园,121.58436,31.19376,达尔文路88号,“创星园”是经国家科技部认定的“国家高新技术创业服务中心”，是国家级科技企业孵化器，是中国著名的高科技园区。
4,乐高LEGO超级室内游乐园,121.39528,31.2227,大渡河路170号,乐高超级室内游乐园设于长风大悦城购物中心内，于2016年4月2日开园。
4,上海长风海洋世界,121.39698,31.22471,大渡河路451号,长风海洋世界主体建筑位于银锄湖底13米处，是集大型海洋动物表演与水族馆鱼类展览为一体的综合海洋主题公园，为全国青少年科普教育基地、上海市专题性科普场馆。
1,蕙风美术馆,121.55557,31.22743,丁香路1089弄1号,蕙风美术馆成立于2006年，为画家夏蕙瑛自行创立，属非盈利艺术机构，座落于浦东新区陆家嘴金融区
2,上海东方艺术中心,121.54149,31.22282,丁香路425号,上海东方艺术中心于2005年7月1日正式运营，是上海的标志性文化设施之一。从高处俯瞰，东艺五个半球体依次为：正厅入口、演奏厅、音乐厅、展厅、歌剧厅，外形宛若一朵美丽的“蝴蝶兰”。
3,时尚谷创意园,121.16719,31.03069,鼎源路618弄,时尚谷创意园是一个专业化的纺织服装时尚设计园区。
3,映巷创意工场,121.42387,31.20744,定西路727号,上海映巷创意工场前身为上海塑料模具厂，2008年被翻新改建成，风格式样以“泛视觉”为主导。
3,中国(上海)网络视听产业基地,121.4635,31.02113,东川路555号,基地于2010年2月由上海市文化广播影视管理局与上海紫竹高新技术产业开发区共同建设，力争在5-10年内建成为年产值超百亿、达到国际一流水平的网络视听产业集聚区。
1,陆俨少艺术馆,121.25352,31.38572,东大街358号,陆俨少艺术院坐落在上海市历史文化名镇――嘉定，与宋代孔庙、法华塔及明代园林秋霞圃，构成一道突显嘉定深厚文化底蕴的靓丽的文化风景线，集收藏、研究和展示陆俨少书画艺术为一体，举行各类高层次展览及学术研讨活动的场所。
3,空间188,121.48067,31.26718,东江湾路188号,空间188创意产业园的前身是上海无线电八厂，2005年经上海市经委授牌，成为上海市第二批创意产业园区。
1,上海翰林匾额博物馆,121.57939,31.26962,东井街122号,上海翰林匾额博物馆创建于2005年，是上海市非物质文化遗产。馆藏品超过1200方，是中国专业从事匾额搜救、保护、展览、研究于一体的主题型博物馆。
2,上海城市剧院,121.38961,31.10507,都市路4889号,上海城市剧院由闵行区政府出资建造，由东上海国际文化影视集团受托经营管理，于2009年11月开始运营。剧院定位“充满活力、时尚经典、品牌现代”。
1,上海多伦现代美术馆,121.48308,31.26195,多伦路27号,上海多伦现代美术馆主要举办中国当代艺术的展演活动，是中国第一个为当代艺术服务的专业化现代美术馆。
1,现代儿童美术馆,121.48328,31.26193,多伦路27号,现代儿童美术馆开馆于2006年12月28日，坐落在上海多伦路文化名人街，是中国大陆第一座儿童美术馆，它的建立填补了我国儿童美术教育史上的一个空白。
3,上海双创产业园,121.52169,31.21421,峨山路613号,园区在2008年进行了整体设计，实施全方位改造，打造成具有鲜明特色的创意产业园――“双创基地”（创业+创意），形成了以大学生创意创业为主的计算机维修、信息维护、网络应用等现代服务业。
3,德必法华525创意树林 ,121.4254,31.20496,法华镇路525号,法华525创意树林是始建于公元970年“法华寺”的原址，是以禅意为主题创建的创意园区，各国的建筑，不同的文化在此聚集。
3,徐汇软件基地,121.42692,31.19396,番禺路1028号,徐汇软件基地成立于1999年，是一个以软件为主题的、坐落在上海城市中心的高科技园区。
3,海上海,121.50899,31.2671,飞虹路568弄,海上海前身是上海工具厂，是由住宅、LOFT、商业三大物业形态及海上剧场、海上展馆、海上讲堂三大文化建筑组合而成的国际创意社区。
2,贺绿汀音乐厅,121.45435,31.21344,汾阳路20号,音乐厅坐落于上海音乐学院内，建筑舞台空间与观众空间融为一体，没有幕布，完全用自然声来演出，是一个专业的交响乐和室内乐音乐厅。
1,上海工艺美术博物馆,121.45405,31.21037,汾阳路79号,上海工艺美术博物馆主楼分设织绣、雕刻、民间工艺三大展示厅，陈列着近300件作品，从中可以映现上海工艺美术发展的脉络。
1,余德耀美术馆,121.46213,31.17075,丰谷路35号,余德耀美术馆成立于2014年5月，是由印尼爱国华侨余德耀先生创办的私人美术馆，由原龙华机场的大机库改建而成，坐落于西岸文化走廊。
1,上海昆虫博物馆,121.45644,31.19331,枫林路300号,上海昆虫博物馆隶属中国科学院上海生命科学研究院，其前身是法国神父韩伯禄（P. Heude）1868年筹建的上海震旦博物馆(Musee Heude)昆虫部，2001年并入中国科学院生命科学研究院植物生理生态研究所，2002年组建上海昆虫博物馆。
1,上海周虎臣曹素功笔墨博物馆,121.48243,31.2337,福州路429号,上海周虎臣曹素功笔墨博物馆以上海著名的老字号“周虎臣”“曹素功“的历史发展和传世遗存为主线，探究上海以至全国文房四宝发展的轨迹，展示中国文房四宝的传统技艺和文化。
1,春美术馆,121.4786,31.23226,福州路655号,春美术馆成立于2014年3月，以高品位与学术性为办馆宗旨，开展研究、收藏、展览、交流及艺术普及教育工作。
2,天蟾逸夫舞台,121.47754,31.23193,福州路701号,天蟾逸夫舞台始建于1925年，位于上海市福州路701号，隶属于上海京剧院，是上海唯一一家戏曲专用演出剧场。之所以取名“天蟾”，意借神话“月精蟾蜍食月中桂树”之典故。
1,上海驰翰美术馆,121.4841,31.21959,复兴东路1117号,上海驰翰美术馆于2013年11月成立，向公众免费开放的艺术展览和讲座，美术馆活动现已被列入“上海市民文化节”内容。
2,上海大戏院,121.46022,31.21345,复兴中路1186号,上海大戏院始建于1942年，初名银光大戏院。2016年末，上海大戏院完成重建，将上演以主流经典戏剧、上海人文戏剧、创新实验戏曲为主的各类演出，同时也将成为观众交互新空间。
1,明圆美术馆,121.45882,31.21275,复兴中路1199号,上海明圆美术馆成立于2004年，展馆有效面积600平方米，是上海市中心繁华区域为数不多的非盈利性专业型美术馆。
2,上海交响乐团音乐厅,121.45135,31.21134,复兴中路1380号,上海交响乐团音乐厅由世界级大师矶崎新和丰田泰久领衔设计，是国内第一个建在弹簧上的“全浮建筑”。音乐厅运用最先进的多媒体技术，大厅内10个反声板可以同时投影画面，与世界各地任何场地进行双向传输同步演出。
1,上海金融博物馆,121.47622,31.21652,复兴中路301号,金融博物馆暨银行博物馆，前身上海银行博物馆，2000年正式开馆，是中国工商银行创办的全国首家金融行业博物馆。
1,上海震旦博物馆,121.49954,31.23485,富城路99号,上海震旦博物馆是上海陆家嘴地区第一座私立艺术博物馆，于 2013年 10 月正式对外开放。博物馆以历史与艺术并重，集典藏、研究、展览、营运、传扬为一体。
1,藏真海派美术馆,121.452672,31.217549,富民路291号,藏真海派美术馆展厅和传统意义上的美术馆展厅不尽相同，它不是光洁平整的白盒子，而更像是一个传统艺术品收藏的复合式展厅，各个时代的青铜古玩、石山子、瓷器散布于展厅的各个角落。
3,上海仓城影视文化产业园区,121.21889,30.98704,富永路425弄,上海仓城影视文化产业园区于2009年3月，由市委宣传部、市经委、市文广局、市新闻出版局共同挂牌成立，是市首批15家文化产业园区之一，更是上海市内目前唯一一家以影视文化作为主导产业的文化园区。
1,东方乐器博物馆,121.44428,31.20369,高安路18弄20号,东方乐器博物馆分为中国古代乐器、中国现代乐器、少数民族乐器和外国民族乐器四个展区及一个多媒体展示厅，馆藏乐器约400多件(套)。
3,中国北斗产业技术创新西虹桥基地,121.29464,31.16448,高泾路599号,中国北斗产业技术创新西虹桥基地是上海市卫星导航产业重点发展的两大产业基地之一，由创新孵化区、总部研发与商贸区和配套生产加工区三个功能互补的园区有机组成。
2,上海马戏城,121.45154,31.27812,共和新路2266号,上海马戏城素有“中国马戏第一城”的美誉， 其独特的建筑造型，金灿灿的穹型屋顶，成为上海国际文化都市又一标志性建筑。
1,上海市群众艺术馆,121.42476,31.18577,古宜路125号 ,上海市群众艺术馆建于1956年12月30日，是全市群众文化创作、培训、活动、理论研究等业务工作的组织指导和协调机构，是引领示范全市群众文化发展的重要基地。
3,创意仓库,121.4686,31.23994,光复路195号,创意仓库原四行仓库，始建于1927年。园区在追求现代化城市改造的同时，最大限度地保留了一大批建筑风格独特、具有历史价值的老厂房、老仓库。
1,苏州河工业文明展示馆,121.37962,31.22087,光复西路2690号,苏州河工业文明展示馆于2014年5月18日“国际博物馆日”建成开放。室内以历史为时间轴、以苏州河为空间轴，展示了上海开埠至今苏州河沿线的工业文明；室外展示以大型工业机器展示、场景复原和雕塑作品等形式再现工业文化的历史遗韵。
3,上海明珠创意产业园 ,121.48363,31.29276,广纪路738号,上海明珠创意产业园是虹口区政府批准的创意产业集聚区，主要有IT、数字传媒、动漫、科技、设计等企业。
3,上海智慧桥创意产业园 ,121.48009,31.28698,广灵四路116号,上海智慧桥创意产业园原虹口区建材厂，2006年7月建成营运，是上海市经济委员会授牌最早的十八家创意产业集聚区之一，也是上海市数字媒体（TMT）产业园区的主题园区之一。
3,上海多媒体谷,121.43955,31.27735,广中西路757号,上海多媒体谷是一个以发展新兴科技产业为主，集创意创新、企业孵化、创业服务，创新人才培育、科技成果转化等功能为一体的高科技园区。
3,浦原科技创意产业园 ,121.41818,31.16824,桂林路396号,园区立足主要定位以原创设计为核心，以研发设计创意为特色的软件开发和仪器仪表设计集聚区，已形成了在“孵化”集聚产业企业的同时，“孵化”壮大自身高科技产业的特色园区。
3,博大汽车公园,121.47312,31.17822,国展路189号,博大汽车公园是经世博办批准，集汽车产业技术研发、品牌展示、改装贸易服务、进口保税等多种功能为一体的国际化汽车主题园区。
3,同乐坊,121.44402,31.23648,海防路555号,同乐坊是昔日的“弄堂工厂”集中区域，其改造，以整旧如旧为原则、制造快乐为宗旨，外部环境保持上海传统弄堂工业厂房的特色，内部改造成为集国际性、文化性、互动性于一体的艺术创意、时尚创意空间。
1,上海知青博物馆,121.51324,30.81574,海乐路200号,知青博物馆是一个反映40多年前上海知识青年上山下乡历史的综合性大型展馆，于2011年11月建成开馆，2014年8月10日正式挂牌。
3,优族173文化创意产业园区,121.49977,31.29501,邯郸路173号,优族173创意产业园区原址为30年满负荷运转的上海电力建设修造厂，现已形成集办公、培训、IT设计研发、信息交流为一体的创意集聚地。
4,锦江乐园,121.40929,31.13968,虹梅路 201号,锦江乐园是位于上海市西南郊的一座游乐场，1985年开放，是上海市第一家大型现代化游乐园。
3,M50西郊文化休闲园,121.38896,31.1907,虹许路731号,西郊鑫桥创意园前身是上海十四羊毛衫厂，是闵行区第一家创意产业园，也是经上海市经委批准授牌的创意产业集聚区。
1,上海外滩美术馆,121.48753,31.24122,虎丘路20号,上海外滩美术馆坐落于上海黄浦江与苏州河交汇之处的外滩源片区，曾是中国最早的博物馆之一，即上海博物院。
1,上海崧泽遗址博物馆,121.111741,31.137224,沪青平公路3993号,上海崧泽遗址博物馆于2014年5月正式开馆，博物馆中展示了众多“上海第一”，同时还展出了炭化稻谷遗存，这是上海出土的最早的人工栽培水稻，被称为“上海第一稻”。
3,新慧谷文化创意产业园,121.44367,31.26674,沪太路799号,新慧谷科技创意产业园原延中复印机厂，是由上海交大科技园、上海新徐汇集团和闸北区科技创业中心共同组建的产业园区。
3,上海南翔智地文化产业园,121.17457,31.14685,沪宜公路1188号,南翔智地企业总部园于2008年建立，定位于以文化信息及多媒体影视为先导的生产性服务功能区，主要面向企业总部、文化创意、会展博览、信息服务、新能源科技研发、电子商务等行业。
1,上海当代艺术博物馆,121.49841,31.20105,花园港路200号,上海当代艺术博物馆由原南市发电厂改造而来，成立于2012年10月，坐落于黄浦江畔，内部最高悬挑27米。高达165米的烟囱既是上海的城市地标也是一个独立的展览空间。
1,青浦区博物馆,121.13431,31.15149,华青南路1000号,上海青浦区博物馆原址设在青浦区城隍庙内，其前身为始建于1958年的青浦县博物馆。2004年12月，在上海市历史文化名城命名十八周年之际，青浦区博物馆迁址到青浦区崧泽广场重建后正式对外开放。
1,上海交通大学董浩云航运博物馆,121.43535,31.20017,华山路1954号,董浩云航运博物馆楼高二层，西式建筑，内有天井，展厅面积600平方米，内有中国航运史馆和董浩云陈列室，将作永久陈列。
1,上海蔡元培故居陈列馆,121.44766,31.21895,华山路303弄16号,上海蔡元培故居是被毛泽东同志誉为“学界泰斗，人世楷模”的蔡元培先生在上海的最后一处住所，在目前国内蔡元培故居中保存状况最为完好。
2,上戏实验剧院,121.43996,31.21664,华山路630号,上海戏剧学院上戏剧院原为上海戏剧学院实验剧院，建成于1986年，当时是上戏唯一的大型教学与教学实习的重要场地，也是学院设备完善的演出实习基地。
